InvoiceNo,InvoiceDate,CustomerID
536365,12-01-10 8:26,17850
536366,12-01-10 8:28,17850
536367,12-01-10 8:34,13047
536368,12-01-10 8:34,13047
536369,12-01-10 8:35,13047
536370,12-01-10 8:45,12583
536371,12-01-10 9:00,13748
536372,12-01-10 9:01,17850
536373,12-01-10 9:02,17850
536374,12-01-10 9:09,15100
536375,12-01-10 9:32,17850
536376,12-01-10 9:32,15291
536377,12-01-10 9:34,17850
536378,12-01-10 9:37,14688
536380,12-01-10 9:41,17809
536381,12-01-10 9:41,15311
536382,12-01-10 9:45,16098
536384,12-01-10 9:53,18074
536385,12-01-10 9:56,17420
536386,12-01-10 9:57,16029
536387,12-01-10 9:58,16029
536388,12-01-10 9:59,16250
536389,12-01-10 10:03,12431
536390,12-01-10 10:19,17511
536392,12-01-10 10:29,13705
536393,12-01-10 10:37,13747
536394,12-01-10 10:39,13408
536395,12-01-10 10:47,13767
536396,12-01-10 10:51,17850
536397,12-01-10 10:51,17924
536398,12-01-10 10:52,13448
536399,12-01-10 10:52,17850
536400,12-01-10 10:53,13448
536401,12-01-10 11:21,15862
536402,12-01-10 11:22,15513
536403,12-01-10 11:27,12791
536404,12-01-10 11:29,16218
536405,12-01-10 11:32,14045
536406,12-01-10 11:33,17850
536407,12-01-10 11:34,17850
536408,12-01-10 11:41,14307
536409,12-01-10 11:45,17908
536412,12-01-10 11:49,17920
536415,12-01-10 11:57,12838
536416,12-01-10 11:58,13255
536420,12-01-10 12:03,16583
536423,12-01-10 12:08,18085
536425,12-01-10 12:08,13758
536437,12-01-10 12:12,13694
536446,12-01-10 12:15,15983
536460,12-01-10 12:22,14849
536463,12-01-10 12:22,14849
536464,12-01-10 12:23,17968
536466,12-01-10 12:23,14849
536477,12-01-10 12:27,16210
536488,12-01-10 12:31,17897
536500,12-01-10 12:35,17377
536502,12-01-10 12:36,16552
536508,12-01-10 12:38,17181
536514,12-01-10 12:40,17951
536520,12-01-10 12:43,14729
536521,12-01-10 12:48,12748
536522,12-01-10 12:49,15012
536523,12-01-10 12:50,12868
536524,12-01-10 12:51,17572
536525,12-01-10 12:54,14078
536526,12-01-10 12:58,14001
536527,12-01-10 13:04,12662
536528,12-01-10 13:17,15525
536529,12-01-10 13:20,14237
536530,12-01-10 13:21,17905
536531,12-01-10 13:23,15485
536532,12-01-10 13:24,12433
536533,12-01-10 13:31,16955
536534,12-01-10 13:33,15350
536535,12-01-10 13:38,15605
536536,12-01-10 13:45,18144
536537,12-01-10 13:51,15922
536538,12-01-10 13:54,14594
536539,12-01-10 14:03,15165
536540,12-01-10 14:05,14911
536541,12-01-10 14:05,14911
536542,12-01-10 14:11,16456
536551,12-01-10 14:34,17346
536556,12-01-10 14:38,17643
536557,12-01-10 14:41,17841
536559,12-01-10 14:54,17873
536560,12-01-10 15:00,13093
536561,12-01-10 15:06,12921
536562,12-01-10 15:08,13468
536563,12-01-10 15:08,17760
536564,12-01-10 15:08,13468
536566,12-01-10 15:21,16928
536567,12-01-10 15:27,16048
536568,12-01-10 15:28,16048
536569,12-01-10 15:35,16274
536570,12-01-10 15:35,14496
536571,12-01-10 15:37,14696
536572,12-01-10 15:40,16539
536573,12-01-10 15:45,17025
536574,12-01-10 15:46,17025
536575,12-01-10 16:01,13777
536576,12-01-10 16:11,13777
536577,12-01-10 16:13,13777
536578,12-01-10 16:15,17690
536579,12-01-10 16:16,13777
536580,12-01-10 16:17,17690
536581,12-01-10 16:19,13777
536582,12-01-10 16:21,12947
536583,12-01-10 16:21,13777
536584,12-01-10 16:22,13777
536585,12-01-10 16:24,17460
536586,12-01-10 16:25,18229
536587,12-01-10 16:33,14142
536588,12-01-10 16:49,17069
536590,12-01-10 16:52,13065
536591,12-01-10 16:57,14606
536593,12-01-10 17:15,16835
536594,12-01-10 17:22,15235
536595,12-01-10 17:24,13576
536597,12-01-10 17:35,18011
536598,12-02-10 7:48,13090
536599,12-02-10 7:49,15694
536600,12-02-10 8:32,17850
536601,12-02-10 8:33,17850
536602,12-02-10 8:34,17850
536603,12-02-10 8:40,17850
536604,12-02-10 8:43,14741
536605,12-02-10 8:52,13715
536607,12-02-10 9:29,17732
536608,12-02-10 9:37,12855
536609,12-02-10 9:41,17850
536610,12-02-10 9:42,17850
536611,12-02-10 9:43,15752
536612,12-02-10 9:44,17850
536613,12-02-10 9:44,17855
536614,12-02-10 9:44,17850
536615,12-02-10 10:09,14047
536616,12-02-10 10:10,17925
536617,12-02-10 10:17,13941
536618,12-02-10 10:17,17017
536619,12-02-10 10:18,17017
536620,12-02-10 10:27,14135
536621,12-02-10 10:35,13108
536623,12-02-10 10:39,15601
536624,12-02-10 10:45,13418
536626,12-02-10 10:46,13418
536627,12-02-10 10:53,15658
536628,12-02-10 10:54,17850
536629,12-02-10 10:55,17850
536630,12-02-10 10:56,17850
536631,12-02-10 10:58,17850
536632,12-02-10 11:02,14388
536633,12-02-10 11:20,14901
536634,12-02-10 11:21,18041
536635,12-02-10 11:22,15955
536636,12-02-10 11:23,15070
536637,12-02-10 11:35,18041
536638,12-02-10 11:41,16244
536639,12-02-10 11:45,15111
536641,12-02-10 11:46,12748
536643,12-02-10 11:57,14390
536663,12-02-10 12:07,16546
536667,12-02-10 12:09,15260
536670,12-02-10 12:09,15260
536671,12-02-10 12:10,13305
536672,12-02-10 12:10,14491
536673,12-02-10 12:11,14060
536674,12-02-10 12:16,15923
536676,12-02-10 12:18,16752
536681,12-02-10 12:22,17287
536685,12-02-10 12:23,17850
536688,12-02-10 12:24,17850
536690,12-02-10 12:25,17850
536693,12-02-10 12:26,17850
536698,12-02-10 12:28,15363
536707,12-02-10 12:33,12915
536732,12-02-10 12:47,15544
536733,12-02-10 12:50,15738
536735,12-02-10 12:58,17381
536736,12-02-10 12:59,17381
536738,12-02-10 13:06,15827
536739,12-02-10 13:08,14180
536740,12-02-10 13:08,15827
536741,12-02-10 13:11,13117
536742,12-02-10 13:14,16916
536743,12-02-10 13:32,17964
536744,12-02-10 13:36,14466
536745,12-02-10 13:38,17235
536746,12-02-10 13:39,16510
536747,12-02-10 13:44,17802
536748,12-02-10 13:45,15107
536749,12-02-10 13:49,17976
536750,12-02-10 14:04,17850
536751,12-02-10 14:05,17850
536752,12-02-10 14:06,17850
536753,12-02-10 14:07,17850
536754,12-02-10 14:09,14449
536759,12-02-10 14:26,16781
536761,12-02-10 14:30,13491
536762,12-02-10 14:40,16186
536763,12-02-10 14:42,17685
536769,12-02-10 14:47,17581
536771,12-02-10 14:49,17581
536777,12-02-10 15:00,15732
536778,12-02-10 15:03,13138
536779,12-02-10 15:08,15823
536781,12-02-10 15:14,17460
536782,12-02-10 15:18,17567
536783,12-02-10 15:19,15061
536784,12-02-10 15:20,15061
536785,12-02-10 15:22,15061
536786,12-02-10 15:23,15061
536787,12-02-10 15:24,17850
536788,12-02-10 15:25,15061
536789,12-02-10 15:25,17850
536790,12-02-10 15:26,17850
536791,12-02-10 15:27,17850
536792,12-02-10 15:28,15061
536793,12-02-10 15:39,16203
536794,12-02-10 15:40,13767
536795,12-02-10 15:40,15640
536796,12-02-10 15:46,15574
536797,12-02-10 15:49,16770
536798,12-02-10 15:55,17838
536799,12-02-10 16:00,17228
536800,12-02-10 16:12,14829
536802,12-02-10 16:29,17412
536803,12-02-10 16:33,14911
536804,12-02-10 16:34,14031
536805,12-02-10 16:38,14775
536806,12-02-10 16:42,12971
536808,12-02-10 16:46,17659
536809,12-02-10 16:48,15299
536810,12-02-10 16:50,15299
536811,12-02-10 16:51,15299
536813,12-02-10 16:59,15646
536819,12-02-10 17:12,13402
536821,12-02-10 17:17,17757
536823,12-02-10 17:22,13011
536824,12-02-10 17:24,13798
536830,12-02-10 17:38,16754
536831,12-02-10 17:40,16029
536832,12-02-10 17:41,16634
536833,12-02-10 17:48,18239
536834,12-02-10 17:51,14576
536835,12-02-10 18:06,13145
536836,12-02-10 18:08,18168
536837,12-02-10 18:15,14395
536838,12-02-10 18:23,14865
536839,12-02-10 18:25,15093
536840,12-02-10 18:27,12738
536841,12-02-10 18:27,16150
536842,12-02-10 18:45,17552
536843,12-02-10 18:46,17552
536844,12-02-10 18:49,14236
536845,12-02-10 19:18,17961
536846,12-02-10 19:59,14573
536847,12-03-10 9:31,17135
536848,12-03-10 9:39,13408
536849,12-03-10 9:45,17396
536851,12-03-10 9:49,12967
536852,12-03-10 9:51,12686
536856,12-03-10 10:26,13370
536857,12-03-10 10:33,16883
536858,12-03-10 10:36,13520
536859,12-03-10 10:43,12841
536860,12-03-10 10:43,16905
536861,12-03-10 10:44,12427
536863,12-03-10 11:19,17967
536874,12-03-10 11:35,16891
536884,12-03-10 11:42,14589
536890,12-03-10 11:48,14156
536938,12-03-10 12:05,14680
536943,12-03-10 12:11,17884
536944,12-03-10 12:20,12557
536945,12-03-10 12:24,14083
